Load environment configuration
'/opt/appsmith/editor/index.html' -> '/opt/appsmith/index.html.original'
127.0.0.1 - - [18/Apr/2023:23:23:53 +0000] "GET /rts-api/v1/health-check HTTP/1.1" 200 16 "-" "curl/7.68.0"
127.0.0.1 - - [18/Apr/2023:23:24:04 +0000] "GET / HTTP/1.1" 200 4263 "-" "curl/7.68.0"
172.19.0.1 - - [18/Apr/2023:23:24:07 +0000] "GET /api/v1/users/features HTTP/1.1" 502 552 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:24:07 +0000] "GET /api/v1/tenants/current HTTP/1.1" 502 552 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:24:07 +0000] "GET /api/v1/users/me HTTP/1.1" 502 552 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:24:09 +0000] "GET /pageService.js HTTP/1.1" 304 0 "http://localhost:8080/pageService.js" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:24:10 +0000] "GET / HTTP/1.1" 200 1860 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:24:10 +0000] "GET /api/v1/users/me HTTP/1.1" 502 552 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:24:10 +0000] "GET /api/v1/users/features HTTP/1.1" 502 552 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:24:10 +0000] "GET /api/v1/tenants/current HTTP/1.1" 502 552 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:24:12 +0000] "GET /pageService.js HTTP/1.1" 304 0 "http://localhost:8080/pageService.js" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:24:14 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:24:15 +0000] "GET /api/v1/users/me HTTP/1.1" 502 552 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:24:15 +0000] "GET /api/v1/users/features HTTP/1.1" 502 552 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:24:15 +0000] "GET /api/v1/tenants/current HTTP/1.1" 502 552 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:24:16 +0000] "GET /pageService.js HTTP/1.1" 304 0 "http://localhost:8080/pageService.js" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
127.0.0.1 - - [18/Apr/2023:23:24:19 +0000] "GET / HTTP/1.1" 200 4263 "-" "curl/7.68.0"
172.19.0.1 - - [18/Apr/2023:23:24:22 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:24:22 +0000] "GET /api/v1/tenants/current HTTP/1.1" 502 552 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:24:22 +0000] "GET /api/v1/users/features HTTP/1.1" 200 254 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:24:22 +0000] "GET /api/v1/users/me HTTP/1.1" 200 290 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:24:24 +0000] "GET /pageService.js HTTP/1.1" 304 0 "http://localhost:8080/pageService.js" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
127.0.0.1 - - [18/Apr/2023:23:24:34 +0000] "GET / HTTP/1.1" 200 4263 "-" "curl/7.68.0"
127.0.0.1 - - [18/Apr/2023:23:24:50 +0000] "GET / HTTP/1.1" 200 4263 "-" "curl/7.68.0"
127.0.0.1 - - [18/Apr/2023:23:25:05 +0000] "GET / HTTP/1.1" 200 4263 "-" "curl/7.68.0"
