Load environment configuration
'/opt/appsmith/editor/index.html' -> '/opt/appsmith/index.html.original'
127.0.0.1 - - [19/Apr/2023:01:45:50 +0000] "GET /rts-api/v1/health-check HTTP/1.1" 200 16 "-" "curl/7.68.0"
172.21.0.1 - - [19/Apr/2023:01:45:53 +0000] "GET /api/v1/users/photo/undefined HTTP/1.1" 502 552 "http://localhost:8080/app/healthheroappsmith-2/pharmacist-page-2-643f284afbcecc56f0478b56/edit/widgets/d393bdhprr?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2023:01:46:01 +0000] "GET / HTTP/1.1" 200 4263 "-" "curl/7.68.0"
172.21.0.1 - - [19/Apr/2023:01:46:09 +0000] "GET / HTTP/1.1" 200 1860 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.21.0.1 - - [19/Apr/2023:01:46:10 +0000] "GET /api/v1/users/features HTTP/1.1" 502 552 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.21.0.1 - - [19/Apr/2023:01:46:10 +0000] "GET /api/v1/users/me HTTP/1.1" 502 552 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.21.0.1 - - [19/Apr/2023:01:46:10 +0000] "GET /api/v1/tenants/current HTTP/1.1" 502 552 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.21.0.1 - - [19/Apr/2023:01:46:12 +0000] "GET /pageService.js HTTP/1.1" 304 0 "http://localhost:8080/pageService.js" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.21.0.1 - - [19/Apr/2023:01:46:15 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.21.0.1 - - [19/Apr/2023:01:46:15 +0000] "GET /api/v1/users/me HTTP/1.1" 502 552 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.21.0.1 - - [19/Apr/2023:01:46:15 +0000] "GET /api/v1/tenants/current HTTP/1.1" 502 552 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.21.0.1 - - [19/Apr/2023:01:46:15 +0000] "GET /api/v1/users/features HTTP/1.1" 502 552 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2023:01:46:16 +0000] "GET / HTTP/1.1" 200 4263 "-" "curl/7.68.0"
172.21.0.1 - - [19/Apr/2023:01:46:18 +0000] "GET /pageService.js HTTP/1.1" 304 0 "http://localhost:8080/pageService.js" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2023:01:46:32 +0000] "GET / HTTP/1.1" 200 4263 "-" "curl/7.68.0"
172.21.0.1 - - [19/Apr/2023:01:46:32 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.21.0.1 - - [19/Apr/2023:01:46:34 +0000] "GET /api/v1/users/features HTTP/1.1" 200 254 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.21.0.1 - - [19/Apr/2023:01:46:34 +0000] "GET /api/v1/tenants/current HTTP/1.1" 200 166 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.21.0.1 - - [19/Apr/2023:01:46:34 +0000] "GET /api/v1/users/me HTTP/1.1" 200 289 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.21.0.1 - - [19/Apr/2023:01:46:34 +0000] "GET /api/v1/applications/new HTTP/1.1" 200 1570 "http://localhost:8080/applications" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.21.0.1 - - [19/Apr/2023:01:46:36 +0000] "GET /pageService.js HTTP/1.1" 304 0 "http://localhost:8080/pageService.js" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.21.0.1 - - [19/Apr/2023:01:46:36 +0000] "GET /api/v1/applications/releaseItems HTTP/1.1" 200 13454 "http://localhost:8080/applications" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.21.0.1 - - [19/Apr/2023:01:46:40 +0000] "POST /api/v1/usage-pulse HTTP/1.1" 201 76 "http://localhost:8080/app/healthheroappsmith-2/pharmacist-page-2-643f284afbcecc56f0478b56/edit/widgets/d393bdhprr?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2023:01:46:48 +0000] "GET / HTTP/1.1" 200 4263 "-" "curl/7.68.0"
